,TF,Accuracy,AUROC,AUPR,Model
0,TARDBP,0.9603633284568787,0.9926328659057617,0.9937294125556946,LAMAR Layer11 CNN (random)
1,TARDBP,0.9673823118209839,0.9928450584411621,0.9938247203826904,LAMAR Layer11 CNN (random)
2,TARDBP,0.9541701078414917,0.9920471906661987,0.9929554462432861,LAMAR Layer11 CNN (random)
3,TARDBP,0.9558216333389282,0.9920088648796082,0.9930887818336487,LAMAR Layer11 CNN (random)
4,TARDBP,0.9479768872261047,0.9908744692802429,0.9921215772628784,LAMAR Layer11 CNN (random)
5,SF3B4,0.9283965826034546,0.9801220297813416,0.978874921798706,LAMAR Layer11 CNN (random)
6,SF3B4,0.9296205639839172,0.9811565279960632,0.9794403910636902,LAMAR Layer11 CNN (random)
7,SF3B4,0.900091826915741,0.9725630879402161,0.9709482789039612,LAMAR Layer11 CNN (random)
8,SF3B4,0.9276315569877625,0.9808403253555298,0.9800351858139038,LAMAR Layer11 CNN (random)
9,SF3B4,0.9205936193466187,0.9765685796737671,0.9747246503829956,LAMAR Layer11 CNN (random)
10,PUM2,0.8944827318191528,0.9589414000511169,0.9599795937538147,LAMAR Layer11 CNN (random)
11,PUM2,0.8972413539886475,0.9616236090660095,0.9636768102645874,LAMAR Layer11 CNN (random)
12,PUM2,0.8813793063163757,0.9552558064460754,0.9558790922164917,LAMAR Layer11 CNN (random)
13,PUM2,0.8899999856948853,0.9560231566429138,0.9574241042137146,LAMAR Layer11 CNN (random)
14,PUM2,0.8913792967796326,0.9620141386985779,0.9632729291915894,LAMAR Layer11 CNN (random)
15,PTBP1,0.9459375739097595,0.9884803295135498,0.9890567064285278,LAMAR Layer11 CNN (random)
16,PTBP1,0.9465554356575012,0.9889467358589172,0.9904738664627075,LAMAR Layer11 CNN (random)
17,PTBP1,0.9397590160369873,0.9893216490745544,0.9906085133552551,LAMAR Layer11 CNN (random)
18,PTBP1,0.9484090209007263,0.9893907308578491,0.9907989501953125,LAMAR Layer11 CNN (random)
19,PTBP1,0.9453197121620178,0.9894744753837585,0.990662693977356,LAMAR Layer11 CNN (random)
20,HNRNPK,0.9136125445365906,0.969916582107544,0.9658434391021729,LAMAR Layer11 CNN (random)
21,HNRNPK,0.9092495441436768,0.9717196226119995,0.9669116139411926,LAMAR Layer11 CNN (random)
22,HNRNPK,0.9232111573219299,0.9746512174606323,0.9694219827651978,LAMAR Layer11 CNN (random)
23,HNRNPK,0.9136125445365906,0.9743040204048157,0.9698564410209656,LAMAR Layer11 CNN (random)
24,HNRNPK,0.9127399921417236,0.9741974472999573,0.9697767496109009,LAMAR Layer11 CNN (random)
25,U2AF1,0.8705357313156128,0.9523298740386963,0.9586702585220337,LAMAR Layer11 CNN (random)
26,U2AF1,0.8764880895614624,0.9580181837081909,0.9639121890068054,LAMAR Layer11 CNN (random)
27,U2AF1,0.8690476417541504,0.9552693367004395,0.9601494073867798,LAMAR Layer11 CNN (random)
28,U2AF1,0.8705357313156128,0.9541033506393433,0.960006833076477,LAMAR Layer11 CNN (random)
29,U2AF1,0.8705357313156128,0.954848051071167,0.9599529504776001,LAMAR Layer11 CNN (random)
30,TIA1,0.8599060773849487,0.9318898916244507,0.9275600910186768,LAMAR Layer11 CNN (random)
31,TIA1,0.8623929023742676,0.9398627281188965,0.9356930255889893,LAMAR Layer11 CNN (random)
32,TIA1,0.8648797869682312,0.9377534985542297,0.9321754574775696,LAMAR Layer11 CNN (random)
33,TIA1,0.8541033267974854,0.9348081946372986,0.9306173324584961,LAMAR Layer11 CNN (random)
34,TIA1,0.8657087683677673,0.9385573863983154,0.9355367422103882,LAMAR Layer11 CNN (random)
35,RBFOX2,0.8869710564613342,0.9621013402938843,0.9616149067878723,LAMAR Layer11 CNN (random)
36,RBFOX2,0.9136971235275269,0.9677059054374695,0.9690843224525452,LAMAR Layer11 CNN (random)
37,RBFOX2,0.8953229188919067,0.965580403804779,0.9649431705474854,LAMAR Layer11 CNN (random)
38,RBFOX2,0.9053452014923096,0.9681788682937622,0.9666512608528137,LAMAR Layer11 CNN (random)
39,RBFOX2,0.8936525583267212,0.9601327776908875,0.9609737396240234,LAMAR Layer11 CNN (random)
40,SRSF1,0.8356963992118835,0.9313794374465942,0.9323716759681702,LAMAR Layer11 CNN (random)
41,SRSF1,0.8732277154922485,0.962292492389679,0.9644074440002441,LAMAR Layer11 CNN (random)
42,SRSF1,0.8073394298553467,0.9234091639518738,0.9259430766105652,LAMAR Layer11 CNN (random)
43,SRSF1,0.7531276345252991,0.9084869623184204,0.899821400642395,LAMAR Layer11 CNN (random)
44,SRSF1,0.9024186730384827,0.9636257886886597,0.9633381366729736,LAMAR Layer11 CNN (random)
45,QKI,0.9115496873855591,0.9629590511322021,0.9703403115272522,LAMAR Layer11 CNN (random)
46,QKI,0.8983917832374573,0.9581783413887024,0.9675716161727905,LAMAR Layer11 CNN (random)
47,QKI,0.9283625483512878,0.9675173759460449,0.9751200079917908,LAMAR Layer11 CNN (random)
48,QKI,0.9356725215911865,0.9706575274467468,0.9780811667442322,LAMAR Layer11 CNN (random)
49,QKI,0.8940058350563049,0.972787618637085,0.97951740026474,LAMAR Layer11 CNN (random)
