,TF,Accuracy,AUROC,AUPR,Model
0,TARDBP,0.9768785834312439,0.9947014451026917,0.9947382211685181,LAMAR TAPT Layer11 CNN
1,TARDBP,0.9735755324363708,0.9952200055122375,0.9952964782714844,LAMAR TAPT Layer11 CNN
2,TARDBP,0.9665565490722656,0.9934168457984924,0.9927300214767456,LAMAR TAPT Layer11 CNN
3,TARDBP,0.9752270579338074,0.9923052787780762,0.9920355081558228,LAMAR TAPT Layer11 CNN
4,TARDBP,0.9719240069389343,0.9948057532310486,0.99413001537323,LAMAR TAPT Layer11 CNN
5,SF3B4,0.9306915402412415,0.981194257736206,0.9809758067131042,LAMAR TAPT Layer11 CNN
6,SF3B4,0.931609570980072,0.9805830717086792,0.9802536964416504,LAMAR TAPT Layer11 CNN
7,SF3B4,0.9319155216217041,0.9822638630867004,0.9822220802307129,LAMAR TAPT Layer11 CNN
8,SF3B4,0.9299265742301941,0.9825114011764526,0.9828276634216309,LAMAR TAPT Layer11 CNN
9,SF3B4,0.932221531867981,0.9828935265541077,0.9828352928161621,LAMAR TAPT Layer11 CNN
10,PUM2,0.8968965411186218,0.966422975063324,0.9652039408683777,LAMAR TAPT Layer11 CNN
11,PUM2,0.8996551632881165,0.9711289405822754,0.9696424007415771,LAMAR TAPT Layer11 CNN
12,PUM2,0.9013792872428894,0.9679611921310425,0.9667634963989258,LAMAR TAPT Layer11 CNN
13,PUM2,0.9062069058418274,0.9708609580993652,0.9704987406730652,LAMAR TAPT Layer11 CNN
14,PUM2,0.9020689725875854,0.9694035649299622,0.9699534177780151,LAMAR TAPT Layer11 CNN
15,PTBP1,0.9496447443962097,0.9891366958618164,0.9907569289207458,LAMAR TAPT Layer11 CNN
16,PTBP1,0.9493358135223389,0.9887304306030273,0.989014208316803,LAMAR TAPT Layer11 CNN
17,PTBP1,0.9477911591529846,0.989780604839325,0.990910530090332,LAMAR TAPT Layer11 CNN
18,PTBP1,0.9499536752700806,0.9884703159332275,0.9880954027175903,LAMAR TAPT Layer11 CNN
19,PTBP1,0.9514983296394348,0.9890837669372559,0.9906556606292725,LAMAR TAPT Layer11 CNN
20,HNRNPK,0.9563699960708618,0.9857410788536072,0.9802260994911194,LAMAR TAPT Layer11 CNN
21,HNRNPK,0.9554973840713501,0.9807277321815491,0.9778733253479004,LAMAR TAPT Layer11 CNN
22,HNRNPK,0.9624781608581543,0.9848700165748596,0.9779455661773682,LAMAR TAPT Layer11 CNN
23,HNRNPK,0.963350772857666,0.984239399433136,0.9787583351135254,LAMAR TAPT Layer11 CNN
24,HNRNPK,0.9581151604652405,0.9866913557052612,0.9805735945701599,LAMAR TAPT Layer11 CNN
25,U2AF1,0.8913690447807312,0.9512302875518799,0.9497954249382019,LAMAR TAPT Layer11 CNN
26,U2AF1,0.8883928656578064,0.9568431973457336,0.9563618898391724,LAMAR TAPT Layer11 CNN
27,U2AF1,0.8883928656578064,0.9558991193771362,0.9510608315467834,LAMAR TAPT Layer11 CNN
28,U2AF1,0.8898809552192688,0.9586122035980225,0.9640666246414185,LAMAR TAPT Layer11 CNN
29,U2AF1,0.8958333134651184,0.9585545659065247,0.9617942571640015,LAMAR TAPT Layer11 CNN
30,TIA1,0.8792484402656555,0.9526935815811157,0.9493873119354248,LAMAR TAPT Layer11 CNN
31,TIA1,0.8825642466545105,0.9545398354530334,0.9496121406555176,LAMAR TAPT Layer11 CNN
32,TIA1,0.8781431317329407,0.951515257358551,0.9464086294174194,LAMAR TAPT Layer11 CNN
33,TIA1,0.880906343460083,0.9532710909843445,0.9468870759010315,LAMAR TAPT Layer11 CNN
34,TIA1,0.8844984769821167,0.9534301161766052,0.9499281644821167,LAMAR TAPT Layer11 CNN
35,RBFOX2,0.9070155620574951,0.9644379615783691,0.9642669558525085,LAMAR TAPT Layer11 CNN
36,RBFOX2,0.9125835299491882,0.9670078754425049,0.964098334312439,LAMAR TAPT Layer11 CNN
37,RBFOX2,0.9109131693840027,0.9658348560333252,0.9614109992980957,LAMAR TAPT Layer11 CNN
38,RBFOX2,0.9097995758056641,0.9656896591186523,0.9589256048202515,LAMAR TAPT Layer11 CNN
39,RBFOX2,0.9148107171058655,0.9693288207054138,0.9658070802688599,LAMAR TAPT Layer11 CNN
40,SRSF1,0.9174311757087708,0.9739282727241516,0.9669779539108276,LAMAR TAPT Layer11 CNN
41,SRSF1,0.9216013550758362,0.9707198143005371,0.962140679359436,LAMAR TAPT Layer11 CNN
42,SRSF1,0.9307756423950195,0.9752755165100098,0.9682520627975464,LAMAR TAPT Layer11 CNN
43,SRSF1,0.9257714748382568,0.9699438214302063,0.9604400396347046,LAMAR TAPT Layer11 CNN
44,SRSF1,0.9174311757087708,0.9715293049812317,0.9634355902671814,LAMAR TAPT Layer11 CNN
45,QKI,0.9605262875556946,0.9884699583053589,0.9885464906692505,LAMAR TAPT Layer11 CNN
46,QKI,0.9583333134651184,0.9888662695884705,0.9900990724563599,LAMAR TAPT Layer11 CNN
47,QKI,0.9634503126144409,0.9919604659080505,0.9920390248298645,LAMAR TAPT Layer11 CNN
48,QKI,0.9627193212509155,0.9901426434516907,0.9909910559654236,LAMAR TAPT Layer11 CNN
49,QKI,0.9583333134651184,0.9895044565200806,0.9903175234794617,LAMAR TAPT Layer11 CNN
